Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ATCOL,Atlas Corp. 7.125% Notes due 2027,$23.60,-0.20,-0.84%,0.00,United Kingdom,,14736,Basic Materials,Precious Metals
ATLX,Atlas Lithium Corporation Common Stock,$9.68,-0.03,-0.309%,56993556.00,United States,,110414,Basic Materials,Precious Metals
AU,AngloGold Ashanti Limited Common Stock,$22.61,0.32,1.436%,9459730726.00,South Africa,,2507375,Basic Materials,Precious Metals
AUMN,Golden Minerals Company Common Stock,$0.31,-0.0039,-1.242%,51918178.00,United States,,397194,Basic Materials,Precious Metals
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$69.46,0.58,0.842%,175777981561.00,Australia,,4344890,Basic Materials,Metal Mining
BVN,Buenaventura Mining Company Inc.,$8.32,0.14,1.711%,2113170733.00,Peru,1996,708184,Basic Materials,Precious Metals
CDE,Coeur Mining Inc. Common Stock,$4.17,0.14,3.474%,1233093032.00,United States,,5313369,Basic Materials,Precious Metals
CHNR,China Natural Resources Inc. Common Stock,$0.4409,-0.0031,-0.698%,18054009.00,Hong Kong,,10488,Basic Materials,Other Metals and Minerals
CLW,Clearwater Paper Corporation Common Stock,$34.60,-1.03,-2.891%,579960667.00,United States,,121198,Basic Materials,Paper
CMCL,Caledonia Mining Corporation Plc Common Shares,$14.49,0.13,0.905%,250435191.00,Canada,,33276,Basic Materials,Precious Metals
CMP,Compass Minerals Intl Inc Common Stock,$45.14,0.41,0.917%,1851803769.00,United States,2003,347038,Basic Materials,Other Metals and Minerals
CTGO,Contango ORE Inc. Common Stock,$27.75,0.00,0.00%,195861998.00,,2021,347,Basic Materials,Precious Metals
DC,Dakota Gold Corp. Common Stock,$3.70,0.05,1.37%,270759529.00,,2022,127789,Basic Materials,Precious Metals
DRD,DRDGOLD Limited American Depositary Shares,$8.53,0.14,1.669%,731853903.00,South Africa,,117015,Basic Materials,Precious Metals
FCX,Freeport-McMoRan Inc. Common Stock,$45.41,1.27,2.877%,64905747743.00,United States,,12359017,Basic Materials,Metal Mining
GATO,Gatos Silver Inc. Common Stock,$5.25,0.28,5.634%,362956094.00,United States,2020,351697,Basic Materials,Precious Metals
GFI,Gold Fields Limited American Depositary Shares,$12.31,0.08,0.654%,10971263902.00,South Africa,,3148698,Basic Materials,Precious Metals
GLG,TD Holdings Inc. Common Stock,$1.15,-0.04,-3.361%,64054294.00,China,2013,556426,Basic Materials,Other Metals and Minerals
GLT,Glatfelter Corporation Common Stock,$3.31,0.08,2.477%,148276432.00,United States,2000,344844,Basic Materials,Paper
GORO,Gold Resource Corporation Common Stock,$1.68,0.04,2.439%,148508823.00,United States,,355757,Basic Materials,Precious Metals
GPK,Graphic Packaging Holding Company,$22.56,0.41,1.851%,6928583840.00,United States,,2661457,Basic Materials,Paper
GSM,Ferroglobe PLC Ordinary Shares,$4.79,0.14,3.011%,897231473.00,United Kingdom,,1095677,Basic Materials,Other Metals and Minerals
HL,Hecla Mining Company Common Stock,$6.26,0.08,1.294%,3795254069.00,United States,,8095509,Basic Materials,Precious Metals
HMY,Harmony Gold Mining Company Limited,$3.84,0.06,1.587%,2373214429.00,South Africa,,2643273,Basic Materials,Precious Metals
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$0.6336,0.0073,1.166%,31781403.00,United States,2018,1703567,Basic Materials,Precious Metals
HYMCL,Hycroft Mining Holding Corporation Warrants,$0.0815,0.0003,0.369%,0.00,United States,,2013,Basic Materials,Precious Metals
HYMCW,Hycroft Mining Holding Corporation  Warrant,$0.07,-0.0005,-0.709%,0.00,United States,2018,225177,Basic Materials,Precious Metals
IDR,Idaho Strategic Resources Inc. Common Stock,$5.50,-0.14,-2.482%,66539385.00,,2022,11800,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$13.61,-0.08,-0.584%,1264204564.00,,2022,248265,Basic Materials,Metal Mining
ITP,IT Tech Packaging Inc. Common Stock,$0.59,-0.0617,-9.468%,6735393.00,China,,68714,Basic Materials,Paper
MATV,Mativ Holdings Inc. Common Stock,$25.45,-0.12,-0.469%,1398305229.00,United States,,396820,Basic Materials,Paper
MERC,Mercer International Inc. Common Stock,$12.43,0.10,0.811%,822458184.00,Canada,,223629,Basic Materials,Paper
