"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AAON","AAON, Inc.","34.32","1787884509.84","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","39.74","1392533155.04","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"AXDX","Accelerate Diagnostics, Inc.","12.28","665560564.04","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"ACU","Acme United Corporation.","14","47166854","n/a","1988","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acu",
"ADNT","Adient plc","17.76","1658706957.12","n/a","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",
"ADOM","ADOMANI, Inc.","0.3202","23288879.8984","n/a","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",
"WMS","Advanced Drainage Systems, Inc.","23.87","1363866801.99","n/a","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",
"AEIS","Advanced Energy Industries, Inc.","40.98","1577281473.9","n/a","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AEHR","Aehr Test Systems","1.5725","34980411.8875","n/a","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","34.66","2713878000","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","69.87","1671875421.51","n/a","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",
"AEMD","Aethlon Medical, Inc.","1.32","24184436.76","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",
"AGCO","AGCO Corporation","53.89","4218733975.19","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","0.6219","7217925.6312","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/uavs",
"A","Agilent Technologies, Inc.","67.85","21576300000","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",
"AIRI","Air Industries Group","0.88","24414602.96","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/airi",
"ALG","Alamo Group, Inc.","77.62","910891967.88","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",
"AMOT","Allied Motion Technologies, Inc.","45.9","434965933.8","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",
"ALSN","Allison Transmission Holdings, Inc.","42.97","5570555172.8","n/a","2012","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alsn",
"AIMC","Altra Industrial Motion Corp.","25.34","1632927236.64","n/a","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc",
"AXL","American Axle & Manufacturing Holdings, Inc.","11.25","1256643011.25","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/axl",
"AOBC","American Outdoor Brands Corporation","12.66","690475463.16","n/a","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/aobc",
"AP","Ampco-Pittsburgh Corporation","3.57","44606600.22","n/a","n/a","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","82.54","24871541970.52","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aph",
"APOG","Apogee Enterprises, Inc.","31.22","879854122.14","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/apog",
"APTV","Aptiv PLC","64.44","16978154432.04","n/a","2011","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/aptv",
"ARCW","ARC Group Worldwide, Inc.","1.2","28019373.6","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/arcw",
"ARNC","Arconic Inc.","19.15","9254091385.5","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/arnc",
"ACA","Arcosa, Inc.","23.75","1158183665","n/a","2018","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aca",
