"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ABB","ABB Ltd","19.1","40717448874.6","n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",
"ABIL","Ability Inc.","2.28","8355463.56","n/a","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ACCO","Acco Brands Corporation","6.7","688355621.5","n/a","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",
"AYI","Acuity Brands, Inc. ","115.77","4641114759.69","n/a","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ayi",
"AMSC","American Superconductor Corporation","11.64","248677576.92","n/a","1991","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/amsc",
"CRMT","America&#39;s Car-Mart, Inc.","71.7","485829377.1","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/crmt",
"AME","AMTEK, Inc.","69.17","16055461783.24","n/a","n/a","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/ame",
"APHA","Aphria Inc.","5.43","1356209229.27","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/apha",
"AIT","Applied Industrial Technologies, Inc.","55.66","2157081648.26","n/a","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/ait",
"ARD","Ardagh Group S.A.","11.24","2656012000","n/a","2017","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/ard",
"ABG","Asbury Automotive Group Inc","66.94","1312130903.18","n/a","2002","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/abg",
"ASH","Ashland Global Holdings Inc.","70.66","4415344704.08","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/ash",
"ACB","Aurora Cannabis Inc.","5.54","5520879471.14","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/acb",
"AN","AutoNation, Inc.","33.74","3034075910.6","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/an",
"AVY","Avery Dennison Corporation","89.17","7731952814.16","n/a","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/avy",
"AZZ","AZZ Inc.","41.98","1093589159.16","n/a","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/azz",
"BLL","Ball Corporation","46.65","15823269806.55","n/a","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/bll",
"BSET","Bassett Furniture Industries, Incorporated","19.72","209789425.48","n/a","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/bset",
"BMS","Bemis Company, Inc.","46.25","4209535093.75","n/a","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/bms",
"BLNK","Blink Charging Co.","1.96","50410386.6","n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/blnk",
"BLNKW","Blink Charging Co.","0.5","0","n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/blnkw",
"BRC","Brady Corporation","41.05","2154126212.45","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/brc",
"CWH","Camping World Holdings, Inc.","14.46","1269405587.1","n/a","2016","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cwh",
"CGC","Canopy Growth Corporation","29.37","10065906586.89","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cgc",
"KMX","CarMax Inc","60.26","10522676103.18","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/kmx",
"CVNA","Carvana Co.","32.77","0","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cvna",
"CASY","Caseys General Stores, Inc.","131.67","4819846975.02","n/a","1983","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/casy",
"CENT","Central Garden & Pet Company","31.93","1845966567.53","n/a","1993","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cent",
"CENTA","Central Garden & Pet Company","29.12","1683512259.52","n/a","n/a","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/centa",
"CTHR","Charles & Colvard Ltd.","0.8662","18708247.3678","n/a","1997","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cthr",
"CCF","Chase Corporation","95.7","899784223.8","n/a","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ccf",
"CJJD","China Jo-Jo Drugstores, Inc.","2.31","66843957.18","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cjjd",
"CDXC","ChromaDex Corporation","2.88","158695153.92","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cdxc",
