Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.60,0.00,0.00%,40928510197.00,,2013,17739215,Consumer Staples,Beverages (Production/Distribution)
ACI,Albertsons Companies Inc. Class A Common Stock,$21.01,0.11,0.526%,11255424255.00,United States,2020,2974733,Consumer Staples,Food Chains
AFRI,Forafric Global PLC Ordinary Shares,$11.00,0.01,0.091%,295098342.00,Gibraltar,,19084,Consumer Staples,Farming/Seeds/Milling
AFRIW,Forafric Global PLC Warrants,$0.6699,-0.01,-1.471%,0.00,Gibraltar,,23300,Consumer Staples,Farming/Seeds/Milling
AGRO,Adecoagro S.A. Common Shares,$8.30,-0.06,-0.718%,908428252.00,Luxembourg,2011,172443,Consumer Staples,Farming/Seeds/Milling
AHRN,Ahren Acquisition Corp. Class A Ordinary Shares,$10.29,0.00,0.00%,385872428.00,Cayman Islands,2022,36754,Consumer Staples,Farming/Seeds/Milling
AHRNU,Ahren Acquisition Corp. Unit,$10.3301,-0.0199,-0.192%,0.00,Cayman Islands,2021,1550,Consumer Staples,Farming/Seeds/Milling
AHRNW,Ahren Acquisition Corp. Warrants,$0.0944,-0.0055,-5.506%,0.00,Cayman Islands,2022,23605,Consumer Staples,Farming/Seeds/Milling
ANDE,Andersons Inc. (The) Common Stock,$35.80,0.08,0.224%,1199404321.00,United States,,135389,Consumer Staples,Tobacco
APPH,AppHarvest Inc. Common Stock,$1.62,0.23,16.547%,174804765.00,United States,2020,7238749,Consumer Staples,Farming/Seeds/Milling
APPHW,AppHarvest Inc. Warrants,$0.1701,-0.0298,-14.907%,0.00,United States,2020,52319,Consumer Staples,Farming/Seeds/Milling
ASAI,Sendas Distribuidora S A ADS,$19.17,-0.24,-1.236%,5172700105.00,,2021,136801,Consumer Staples,Food Chains
BG,Bunge Limited Bunge Limited,$97.43,-0.96,-0.976%,14595029881.00,United States,2001,1118442,Consumer Staples,Farming/Seeds/Milling
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,$14.43,0.34,2.413%,1034171318.00,United States,,1072328,Consumer Staples,Packaged Foods
BHIL,Benson Hill Inc. Common Stock,$2.36,0.01,0.426%,487253759.00,,2021,719112,Consumer Staples,Farming/Seeds/Milling
BIMI,BIMI International Medical Inc. Common Stock,$1.47,0.15,11.364%,5649910.00,China,,41096,Consumer Staples,Retail-Drug Stores and Proprietary Stores
BRBR,BellRing Brands Inc. Common Stock ,$26.30,-0.15,-0.567%,3535396594.00,United States,2022,983702,Consumer Staples,Beverages (Production/Distribution)
BRCC,BRC Inc. Class A Common Stock,$6.27,0.19,3.125%,342057298.00,,2022,547435,Consumer Staples,Specialty Foods
BRFH,Barfresh Food Group Inc. Common Stock,$1.5001,0.0301,2.048%,19403405.00,United States,,7604,Consumer Staples,Beverages (Production/Distribution)
BRFS,BRF S.A.,$1.58,0.07,4.636%,1703424621.00,Brazil,,14100607,Consumer Staples,Meat/Poultry/Fish
BRID,Bridgford Foods Corporation Common Stock,$11.955,-0.515,-4.13%,108513527.00,United States,,4803,Consumer Staples,Specialty Foods
BSFC,Blue Star Foods Corp. Common Stock,$0.385,-0.009,-2.284%,9832455.00,United States,,87579,Consumer Staples,Farming/Seeds/Milling
BTOG,Bit Origin Limited Ordinary Shares,$0.2301,0.0081,3.649%,5498016.00,United States,2019,80765,Consumer Staples,Meat/Poultry/Fish
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$59.80,0.47,0.792%,120750700603.00,Belgium,,1216418,Consumer Staples,Beverages (Production/Distribution)
BUR,Burford Capital Limited Ordinary Shares,$8.88,0.15,1.718%,1945162908.00,,2020,92147,Consumer Staples,Farming/Seeds/Milling
BYND,Beyond Meat Inc. Common Stock,$15.12,0.86,6.031%,963783773.00,United States,2019,2042055,Consumer Staples,Specialty Foods
CAG,ConAgra Brands Inc. Common Stock,$37.98,-0.29,-0.758%,18102122588.00,United States,,4346792,Consumer Staples,Packaged Foods
CALM,Cal-Maine Foods Inc. Common Stock,$54.67,-1.05,-1.884%,2675011246.00,United States,1996,1060623,Consumer Staples,Farming/Seeds/Milling
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,$3.67,0.04,1.102%,990824325.00,Brazil,2020,2446900,Consumer Staples,Food Chains
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$55.73,-0.07,-0.125%,25474542626.00,United Kingdom,,865289,Consumer Staples,Beverages (Production/Distribution)
CCU,Compania Cervecerias Unidas S.A. Common Stock,$14.70,1.02,7.456%,2715846109.00,Chile,,450442,Consumer Staples,Beverages (Production/Distribution)
CELH,Celsius Holdings Inc. Common Stock,$99.88,2.07,2.116%,7613373076.00,United States,,1088761,Consumer Staples,Beverages (Production/Distribution)
CHSCL,CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4,$25.55,0.04,0.157%,0.00,United States,,45292,Consumer Staples,Tobacco
CHSCM,CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3,$25.07,0.18,0.723%,0.00,United States,,36389,Consumer Staples,Tobacco
CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate,$25.08,0.17,0.682%,0.00,United States,,97701,Consumer Staples,Tobacco
CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock,$25.63,0.06,0.235%,0.00,United States,,33359,Consumer Staples,Tobacco
CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock,$28.645,0.096,0.336%,0.00,United States,,23074,Consumer Staples,Tobacco
COCO,The Vita Coco Company Inc. Common Stock,$13.49,0.26,1.965%,754418699.00,United States,2021,107189,Consumer Staples,Beverages (Production/Distribution)
COKE,Coca-Cola Consolidated Inc. Common Stock,$483.42,5.19,1.085%,4531428736.00,United States,1972,36756,Consumer Staples,Beverages (Production/Distribution)
CPB,Campbell Soup Company Common Stock,$52.04,-0.35,-0.668%,15584292031.00,United States,,3543916,Consumer Staples,Packaged Foods
CYAN,Cyanotech Corporation Common Stock,$1.14,-0.03,-2.564%,7150047.00,United States,,2570,Consumer Staples,Farming/Seeds/Milling
DAR,Darling Ingredients Inc. Common Stock,$65.63,1.02,1.579%,10518613163.00,United States,1997,1322756,Consumer Staples,Farming/Seeds/Milling
DEO,Diageo plc Common Stock,$185.96,1.36,0.737%,105370501969.00,United Kingdom,,450594,Consumer Staples,Beverages (Production/Distribution)
