"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","1.255","209089582.475","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","40.9","172499676.4","n/a","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ae",
"ARLP","Alliance Resource Partners, L.P.","19.09","2485132744.71","n/a","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"AMR","Alta Mesa Resources, Inc.","1.045","398018629.195","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","0.0948","0","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amrww",
"ALTM","Altus Midstream Company","9.07","2947108796.35","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/altm",
"ALTMW","Altus Midstream Company","0.83","0","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/altmw",
"AETI","American Electric Technologies, Inc.","0.84","7534327.08","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti",
"APC","Anadarko Petroleum Corporation","49.58","25002247121.16","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc",
"ANDX","Andeavor Logistics LP","34.78","8537935154.66","n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx",
"AR","Antero Resources Corporation","10.78","3418498956.18","n/a","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","30.17","11450831679.14","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","1.04","98286940.96","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/arex",
"ARCH","Arch Coal, Inc.","82.87","1557906278","n/a","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",
