"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","4.03","24149500.96","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","23.6127","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.82","56641242.84","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FCCY","1st Constitution Bancorp (NJ)","19.01","159765590.92","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","41.87","1087185785.02","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"QFIN","360 Finance, Inc.","16.5","51150000","3100000","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"ABM","ABM Industries Incorporated","25.94","1708195510.42","n/a","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"ANCX","Access National Corporation","22.48","470571299.76","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ancx",
"ACNB","ACNB Corporation","37.78","266055222.72","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"AEB","Aegon NV","18.4","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.1781","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","4.68","9454092841.44","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.06","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AMG","Affiliated Managers Group, Inc.","95.46","5028153602.1","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","44.32","33739900570.4","n/a","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",
"AGFS","AgroFresh Solutions, Inc.","3.96","199739271.6","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.1796","0","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"ALAC","Alberton Acquisition Corporation","9.77","143518857.5","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alac",
"ALACR","Alberton Acquisition Corporation","0.24","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacr",
"ALACU","Alberton Acquisition Corporation","10.03","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacu",
"ALACW","Alberton Acquisition Corporation","0.1","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacw",
"Y","Alleghany Corporation","597.71","8867966852.41","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/y",
"ABTX","Allegiance Bancshares, Inc.","31.88","695846449.64","n/a","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",
"ALGR","Allegro Merger Corp.","9.6","182976000","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algr",
"ALGRR","Allegro Merger Corp.","0.29","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrr",
"ALGRU","Allegro Merger Corp.","10.28","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algru",
"ALGRW","Allegro Merger Corp.","0.3099","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrw",
"AB","AllianceBernstein Holding L.P.","25.35","2440519637.4","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ab",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","11.03","1045661438.43","n/a","2005","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/nfj",
"ALL","Allstate Corporation (The)","80.16","27610492363.2","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/all",
"ALLY","Ally Financial Inc.","22.75","9397609425.75","n/a","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/ally",
"AAMC","Altisource Asset Management Corp","43.39","70855653.05","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/aamc",
"AMBC","Ambac Financial Group, Inc.","15.95","723113634.1","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","7.75","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambcw",
"AMCIU","AMCI Acquisition Corp.","9.95","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amciu",
"ATAX","America First Multifamily Investors, L.P.","5.56","336492651.16","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atax",
"AEL","American Equity Investment Life Holding Company","27.73","2505214800.79","n/a","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","101.18","86434209227.54","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","89.94","8027431279.02","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afg",
"AFGE","American Financial Group, Inc.","24.6599","0","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afge",
"AFGH","American Financial Group, Inc.","24.29","0","n/a","2015","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afgh",
"AIG","American International Group, Inc.","37.46","33138931686.2","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/aig",
"AMNB","American National Bankshares, Inc.","32.4","282347564.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","121.09","3255559019.41","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/anat",
"ARL","American Realty Investors, Inc.","13.26","212121227.76","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/arl",
"AMRB","American River Bankshares","12.3187","72293978.6119","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amrb",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","108.66","15142462620.9","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amp",
"ABCB","Ameris Bancorp","31.18","1481078467.34","n/a","1994","Finance","Major Banks","https://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","58.54","1128064629.2","n/a","2005","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","4.02","71341697.82","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","28.25","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","25.64","238731809.32","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/atlo",
"AFSS","AmTrust Financial Services, Inc.","17.58","0","n/a","2015","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afss",
"AFST","AmTrust Financial Services, Inc.","17.8","0","n/a","2015","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afst",
"AON","Aon plc","150.37","36215729422.18","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/aon",
"APO","Apollo Global Management, LLC","24.01","9824116477","n/a","2011","Finance","Investment Managers","https://www.nasdaq.com/symbol/apo",
"ACGL","Arch Capital Group Ltd.","26.41","10688766650.2","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acgl",
"ACGLO","Arch Capital Group Ltd.","20.93","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglo",
"ACGLP","Arch Capital Group Ltd.","20.34","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglp",
"ARES","Ares Management Corporation","21.04","2136215922","n/a","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/ares",
"ARGD","Argo Group International Holdings, Ltd.","25.04","0","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argd",
"ARGO","Argo Group International Holdings, Ltd.","66.39","2250039158.04","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argo",
"AI","Arlington Asset Investment Corp","8.07","244889363.22","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/ai",
"AIC","Arlington Asset Investment Corp","22.358","0","n/a","2015","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/aic",
"AIW","Arlington Asset Investment Corp","23.465","0","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/aiw",
"AHH","Armada Hoffler Properties, Inc.","14.77","733002487.84","n/a","2013","Finance","Real Estate","https://www.nasdaq.com/symbol/ahh",
