"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TPNL","3PEA International, Inc.","3.5","162400000","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",
"ACTG","Acacia Research Corporation","2.96","146932384.24","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","151.67","96818331403.65","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","64.21","10457627529.46","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","143.98","370306458795.14","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","1.51","57260885.16","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","161.18","8780042275.96","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","2.57","68069410.64","n/a","1994","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/artx",
"ATHN","athenahealth, Inc.","132.08","5363552452.96","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/athn",
"ATKR","Atkore International Group Inc.","19.74","929352192.3","n/a","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atkr",
"RILY","B. Riley Financial, Inc.","17.39","461777624.95","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rily",
"RILYG","B. Riley Financial, Inc.","23.98","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyg",
"RILYH","B. Riley Financial, Inc.","25.2","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyh",
"RILYI","B. Riley Financial, Inc.","24.5","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyi",
"RILYL","B. Riley Financial, Inc.","25.36","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyl",
"RILYZ","B. Riley Financial, Inc.","24","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyz",
"BTN","Ballantyne Strong, Inc","1.88","27152697.12","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/btn",
"BKNG","Booking Holdings Inc.","1739.52","80591241438.72","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bkng",
"BOXL","Boxlight Corporation","1.68","17089097.76","n/a","2017","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/boxl",
"BFAM","Bright Horizons Family Solutions Inc.","110.12","6394590214.8","n/a","2013","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","94.79","11066781127.27","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","1.98","25239505.5","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bsqr",
"CAE","CAE Inc","18.53","4929370315.92","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cae",
"CAJ","Canon, Inc.","27.49","29682379785.98","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/caj",
"CATM","Cardtronics plc","25.41","1171586797.92","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/catm",
"CASS","Cass Information Systems, Inc","54.67","806563293.69","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cass",
"CBAT","CBAK Energy Technology, Inc.","0.5001","13326403.7478","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cbat",
"CBZ","CBIZ, Inc.","19.47","1080420556.38","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cbz",
"CDK","CDK Global, Inc.","46.89","6038187304.95","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cdk",
"CCRC","China Customer Relations Centers, Inc.","11.9","218122240","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"CREG","China Recycling Energy Corporation","0.79","8133271.2","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",
"CMPR","Cimpress N.V","107.93","3336030711.51","n/a","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/cmpr",
"CLCT","Collectors Universe, Inc.","11.08","100389032.56","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/clct",
"SCOR","comScore, Inc.","14.79","871230314.85","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/scor",
"CNDT","Conduent Incorporated","10.98","2319977167.38","n/a","2016","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cndt",
"CSGP","CoStar Group, Inc.","345","12564826515","n/a","1998","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/csgp",
"CRAI","CRA International,Inc.","43.6","353209834.8","n/a","1998","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/crai",
"CTRP","Ctrip.com International, Ltd.","27.31","12724174480.72","465916312","2003","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctrp",
"CTEK","CynergisTek, Inc.","4.74","45580470.42","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctek",
"DHX","DHI Group, Inc.","1.58","83566915.74","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/dhx",
"DBD","Diebold Nixdorf Incorporated","2.58","196400606.28","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/dbd",
"APPS","Digital Turbine, Inc.","1.91","148323964.66","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/apps",
"DLB","Dolby Laboratories","64.6","6670795678.6","n/a","2005","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/dlb",
