"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADTN","ADTRAN, Inc.","10.96","522246685.2","n/a","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",
"ADSW","Advanced Disposal Services, Inc.","24.74","2193482170.1","n/a","2016","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/adsw",
"AKTS","Akoustis Technologies, Inc.","5.69","168562961.18","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALSK","Alaska Communications Systems Group, Inc.","1.505","80044144.39","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"AQN","Algonquin Power & Utilities Corp.","10.48","4932288933.36","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqn",
"AQNA","Algonquin Power & Utilities Corp.","24.88","0","n/a","2018","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqna",
"ALE","Allete, Inc.","78.03","4013022972.96","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/ale",
"LNT","Alliant Energy Corporation","44.13","10411875406.11","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/lnt",
"AEE","Ameren Corporation","67.31","16443549759.52","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/aee",
"AMOV","America Movil, S.A.B. de C.V.","13.8","45565559338.8","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","13.83","45664614902.58","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amx",
"AEP","American Electric Power Company, Inc.","77.33","38132105591.91","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aep",
"AMID","American Midstream Partners, LP","4.74","251246671.98","n/a","2011","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/amid",
"AWR","American States Water Company","67.16","2467796819.24","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awr",
"AWK","American Water Works","93.58","16900435142.52","n/a","2008","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awk",
"AMGP","Antero Midstream GP LP","13.42","2499064857.96","n/a","2017","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/amgp",
"AM","Antero Midstream Partners LP","25.35","4741727690.7","n/a","2014","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/am",
"WTR","Aqua America, Inc.","34.59","6154940414.61","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/wtr",
"WAAS","AquaVenture Holdings Limited","17.8","475813936","n/a","2016","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/waas",
"AROC","Archrock, Inc.","8.39","1085136347.69","n/a","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/aroc",
"ARTNA","Artesian Resources Corporation","36.12","333974730.6","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/artna",
"T","AT&T Inc.","29.86","217321080000","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/t",
"TBB","AT&T Inc.","22.12","0","n/a","2017","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/tbb",
"TBC","AT&T Inc.","22.96","0","n/a","2018","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/tbc",
"ATTO","Atento S.A.","4.27","315591669.12","n/a","2014","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/atto",
"AY","Atlantica Yield plc","19.61","1965260468.6","n/a","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ay",
"ATO","Atmos Energy Corporation","95.56","10651766165.72","n/a","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/ato",
"ATNI","ATN International, Inc.","74.3","1186234569.6","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/atni",
"AUDC","AudioCodes Ltd.","10.33","297676283.74","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/audc",
"AWX","Avalon Holdings Corporation","2.76","10497193.56","n/a","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/awx",
