"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","9.11","565336573.44","62056704","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","53.04","3072215340.48","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","10.43","1190903063.49","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"JOBS","51job, Inc.","68.68","2502436224.28","36436171","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","58.51","8667599198.66","n/a","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","17.82","1699514445.42","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"ATEN","A10 Networks, Inc.","6.12","451646312.04","n/a","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",
"AAN","Aaron&#39;s,  Inc.","40.54","2942324322.54","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ACIA","Acacia Communications, Inc.","39.86","1612067426.82","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
"ACIW","ACI Worldwide, Inc.","26.7","3096656521.5","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACMR","ACM Research, Inc.","10.27","164358389.26","n/a","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ATVI","Activision Blizzard, Inc","47.1","35939688817.8","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",
"ATU","Actuant Corporation","23.35","1425840103.6","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
"IOTS","Adesto Technologies Corporation","4.8","141283881.6","n/a","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",
"ADBE","Adobe Inc.","221.38","108063000207.26","n/a","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe",
"AMD","Advanced Micro Devices, Inc.","18.83","18818837877.28","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd",
"AER","Aercap Holdings N.V.","45.74","6721999661.98","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",
"ACY","AeroCentury Corp.","11.695","18079581.18","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/acy",
"HIVE","Aerohive Networks, Inc.","3.35","186110657","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",
"AGYS","Agilysys, Inc.","15.02","353395231.22","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys",
"AGMH","AGM Group Holdings Inc.","32.2759","1072078069.5745","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",
"AL","Air Lease Corporation","32.34","3587605624.68","n/a","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","17.04","1298914470","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",
"AIRG","Airgain, Inc.","10.61","105195083.71","n/a","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",
"AMCN","AirMedia Group Inc","0.2333","10539968.8417","45177749","2007","Technology","Advertising","https://www.nasdaq.com/symbol/amcn",
"ALRM","Alarm.com Holdings, Inc.","51.65","2479361819.45","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm",
"ALYA","Alithya Group inc.","3.5578","172214430.2234","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/alya",
"ALLT","Allot Communications Ltd.","6.56","221166004.8","n/a","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","10.3","1799556332.1","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mdrx",
"AOSL","Alpha and Omega Semiconductor Limited","10.07","239544515.52","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"GOOG","Alphabet Inc.","1016.53","706962050946.94","n/a","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","1025.65","713304700848.7","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/googl",
"AABA","Altaba Inc.","60.08","36204047646.48","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba",
