Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADTN,ADTRAN Holdings Inc. Common Stock,$18.36,-0.58,-3.062%,1433650055.00,United States,1994,783927,Telecommunications,Telecommunications Equipment
AGAE,Allied Gaming & Entertainment Inc. Common Stock,$1.1636,-0.0264,-2.218%,45479853.00,United States,2017,51724,Telecommunications,Cable & Other Pay Television Services
ALLT,Allot Ltd. Ordinary Shares,$3.64,0.03,0.831%,135903491.00,Israel,2006,90773,Telecommunications,Telecommunications Equipment
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,$20.76,0.29,1.417%,65717337000.00,Mexico,,4896,Telecommunications,Telecommunications Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,$20.90,0.24,1.162%,66160517500.00,Mexico,,1018845,Telecommunications,Telecommunications Equipment
ASNS,Actelis Networks Inc. Common Stock,$0.503,0.0071,1.432%,8710739.00,United States,2022,14888,Telecommunications,Telecommunications Equipment
ATNI,ATN International Inc. Common Stock,$47.64,0.70,1.491%,750965565.00,United States,,33390,Telecommunications,Telecommunications Equipment
ATTO,Atento S.A. Ordinary Shares,$5.96,0.18,3.114%,86418272.00,,2014,15854,Telecommunications,Telecommunications Equipment
ATUS,Altice USA Inc. Class A Common Stock,$4.80,0.19,4.121%,2188571285.00,United States,2017,3910033,Telecommunications,Telecommunications Equipment
AVNW,Aviat Networks Inc. Common Stock,$31.13,0.38,1.236%,352394993.00,United States,,94268,Telecommunications,Telecommunications Equipment
BDC,Belden Inc Common Stock,$78.32,1.28,1.661%,3352538116.00,United States,,238299,Telecommunications,Telecommunications Equipment
BOSC,B.O.S. Better Online Solutions Common Stock,$2.20,0.06,2.804%,9499600.00,Israel,,1827,Telecommunications,Computer Communications Equipment
BOXL,Boxlight Corporation Class A Common Stock,$0.3501,0.0126,3.733%,25950887.00,United States,2017,242473,Telecommunications,Telecommunications Equipment
CHT,Chunghwa Telecom Co. Ltd.,$38.16,0.08,0.21%,29602417752.00,Taiwan,,139438,Telecommunications,Telecommunications Equipment
CNSL,Consolidated Communications Holdings Inc. Common Stock,$4.15,0.06,1.467%,478892022.00,United States,2005,152501,Telecommunications,Telecommunications Equipment
CSCO,Cisco Systems Inc. Common Stock (DE),$46.78,0.32,0.689%,192177061287.00,United States,1990,21842218,Telecommunications,Computer Communications Equipment
ESE,ESCO Technologies Inc. Common Stock,$93.33,1.57,1.711%,2415896328.00,United States,,113184,Telecommunications,Telecommunications Equipment
EXTR,Extreme Networks Inc. Common Stock,$18.88,0.24,1.288%,2479798622.00,United States,1999,3135524,Telecommunications,Telecommunications Equipment
HPE,Hewlett Packard Enterprise Company Common Stock,$15.95,0.14,0.886%,20444978773.00,United States,2015,12713677,Telecommunications,Telecommunications Equipment
IDCC,InterDigital Inc. Common Stock,$62.92,0.82,1.32%,1866395520.00,United States,,395715,Telecommunications,Telecommunications Equipment
IDT,IDT Corporation Class B Common Stock,$28.74,0.74,2.643%,733129551.00,United States,,82184,Telecommunications,Telecommunications Equipment
IHS,IHS Holding Limited Ordinary Shares,$7.72,0.27,3.624%,2560631360.00,,2021,155053,Telecommunications,Telecommunications Equipment
INSG,Inseego Corp. Common Stock,$0.9741,0.014,1.458%,105056359.00,United States,,1678920,Telecommunications,Telecommunications Equipment
ITI,Iteris Inc. Common Stock,$3.40,0.09,2.719%,144973011.00,United States,,82398,Telecommunications,Telecommunications Equipment
KN,Knowles Corporation Common Stock,$18.34,0.37,2.059%,1667957838.00,,2014,605673,Telecommunications,Telecommunications Equipment
KT,KT Corporation Common Stock,$14.80,0.07,0.475%,7578863269.00,South Korea,,677760,Telecommunications,Telecommunications Equipment
LBTYA,Liberty Global plc Class A Ordinary Shares,$21.59,0.78,3.748%,9926064075.00,United Kingdom,,2306324,Telecommunications,Cable & Other Pay Television Services
LBTYB,Liberty Global plc Class B Ordinary Shares,$21.212,0.00,0.00%,9752277497.00,United Kingdom,,2,Telecommunications,Cable & Other Pay Television Services
LBTYK,Liberty Global plc Class C Ordinary Shares,$22.39,0.81,3.753%,10293866356.00,United Kingdom,,5478042,Telecommunications,Cable & Other Pay Television Services
LILA,Liberty Latin America Ltd. Class A Common Stock,$9.18,0.16,1.774%,1995892907.00,United States,,194436,Telecommunications,Cable & Other Pay Television Services
LILAK,Liberty Latin America Ltd. Class C Common Stock,$9.17,0.16,1.776%,1993718732.00,United States,,1471652,Telecommunications,Cable & Other Pay Television Services
LTRX,Lantronix Inc. Common Stock,$4.25,0.12,2.906%,154019422.00,United States,2000,184485,Telecommunications,Telecommunications Equipment
LUMN,Lumen Technologies Inc. Common Stock,$5.22,0.19,3.777%,5400522440.00,United States,,23450718,Telecommunications,Telecommunications Equipment
MAXR,Maxar Technologies Inc.,$51.31,0.05,0.098%,3826986366.00,,,1276431,Telecommunications,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.16,0.01,0.87%,12711742.00,United States,2021,51712,Telecommunications,Telecommunications Equipment
ONDS,Ondas Holdings Inc. Common Stock,$1.78,0.00,0.00%,76335382.00,United States,,144427,Telecommunications,Telecommunications Equipment
ORAN,Orange,$10.50,0.12,1.156%,27909959994.00,France,,340169,Telecommunications,Telecommunications Equipment
PHI,PLDT Inc. Sponsored ADR,$26.74,0.10,0.375%,5775840000.00,Philippines,,53153,Telecommunications,Telecommunications Equipment
PTNR,Partner Communications Company Ltd. American Depositary Shares,$7.08,0.09,1.288%,1318596688.00,Israel,,1047,Telecommunications,Telecommunications Equipment
PWFL,PowerFleet Inc. Common Stock,$2.77,0.08,2.974%,100193495.00,United States,,25810,Telecommunications,Telecommunications Equipment
REKR,Rekor Systems Inc. Common Stock,$1.80,0.24,15.385%,97825592.00,United States,,696912,Telecommunications,Telecommunications Equipment
ROKU,Roku Inc. Class A Common Stock,$52.39,2.45,4.906%,7296329943.00,United States,2017,6853988,Telecommunications,Cable & Other Pay Television Services
SHEN,Shenandoah Telecommunications Co Common Stock,$18.55,0.21,1.145%,929323539.00,United States,,128692,Telecommunications,Telecommunications Equipment
SKM,SK Telecom Co. Ltd. Common Stock,$21.52,0.04,0.186%,8454143728.00,South Korea,,326944,Telecommunications,Telecommunications Equipment
SNT,Senstar Technologies Ltd. Ordinary Shares,$1.3579,-0.0114,-0.833%,31652631.00,Israel,,6110,Telecommunications,Telecommunications Equipment
SONM,Sonim Technologies Inc. Common Stock,$0.5002,-0.0096,-1.883%,20426769.00,United States,2019,46693,Telecommunications,Telecommunications Equipment
TDS,Telephone and Data Systems Inc. Common Shares,$12.20,0.61,5.263%,1385494220.00,United States,,1755434,Telecommunications,Telecommunications Equipment
TEF,Telefonica SA Common Stock,$3.91,0.06,1.558%,22581178836.00,Spain,1988,732161,Telecommunications,Telecommunications Equipment
TEO,Telecom Argentina SA,$6.03,0.29,5.052%,2597347740.00,Argentina,,125399,Telecommunications,Telecommunications Equipment
TESS,TESSCO Technologies Incorporated Common Stock,$4.9999,-0.0001,-0.002%,46026619.00,United States,1994,3035,Telecommunications,Telecommunications Equipment
TIGO,Millicom International Cellular S.A. Common Stock,$14.57,0.12,0.83%,2489867300.00,Luxembourg,,105586,Telecommunications,Telecommunications Equipment
TIMB,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) ,$11.09,-0.10,-0.894%,5369316989.00,,2020,768123,Telecommunications,Telecommunications Equipment
TKC,Turkcell Iletisim Hizmetleri AS Common Stock,$5.15,0.25,5.102%,4497198757.00,Turkey,,515571,Telecommunications,Telecommunications Equipment
TLK,PT Telekomunikasi Indonesia Tbk,$26.03,0.46,1.799%,25785894955.00,Indonesia,,202548,Telecommunications,Telecommunications Equipment
TMUS,T-Mobile US Inc. Common Stock,$145.12,-0.02,-0.014%,180551647926.00,United States,,5878273,Telecommunications,Telecommunications Equipment
USM,United States Cellular Corporation Common Stock,$23.06,0.89,4.014%,1965071736.00,United States,1988,525275,Telecommunications,Telecommunications Equipment
UTSI,UTStarcom Holdings Corp. Ordinary Shares,$4.62,-0.20,-4.149%,41739506.00,China,2000,4198,Telecommunications,Telecommunications Equipment
UZD,United States Cellular Corporation 6.250% Senior Notes due 2069,$18.78,-0.78,-3.988%,0.00,United States,2020,70045,Telecommunications,Telecommunications Equipment
UZE,United States Cellular Corporation 5.500% Senior Notes due 2070,$17.12,-0.69,-3.874%,0.00,United States,2020,45429,Telecommunications,Telecommunications Equipment
UZF,United States Cellular Corporation 5.500% Senior Notes due 2070,$17.32,-0.58,-3.24%,0.00,United States,2021,34513,Telecommunications,Telecommunications Equipment
VEON,VEON Ltd. ADS,$0.5463,-0.0136,-2.429%,955548301.00,Netherlands,,440563,Telecommunications,Telecommunications Equipment
VISL,Vislink Technologies Inc. Common Stock,$0.589,0.0291,5.197%,27929978.00,United States,2013,140786,Telecommunications,Telecommunications Equipment
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),$7.58,-0.14,-1.813%,12609760021.00,Brazil,2020,1896530,Telecommunications,Telecommunications Equipment
VOD,Vodafone Group Plc American Depositary Shares,$11.45,0.24,2.141%,31183011100.00,United Kingdom,,5325451,Telecommunications,Telecommunications Equipment
VZ,Verizon Communications Inc. Common Stock,$40.00,-0.06,-0.15%,167992697880.00,United States,,23151837,Telecommunications,Telecommunications Equipment
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$13.02,0.55,4.411%,31617716115.00,United States,,18426414,Telecommunications,Cable & Other Pay Television Services
WLDS,Wearable Devices Ltd. Ordinary Share,$0.5272,0.0021,0.40%,7931752.00,Israel,2022,75666,Telecommunications,Computer Communications Equipment
WLDSW,Wearable Devices Ltd. Warrant,$0.125,-0.002,-1.575%,0.00,Israel,2022,465,Telecommunications,Computer Communications Equipment
WTT,Wireless Telecom Group  Inc. Common Stock,$1.86,-0.01,-0.535%,40095557.00,United States,1993,13617,Telecommunications,Telecommunications Equipment
